1970-01-01 01:00:00,User-1,Move to Meeting Room
1970-01-01 01:00:00,User-2,Move to Coffee Area
1970-01-01 01:00:00,User-3,Move to Workplace
1970-01-01 01:00:00,User-4,Move to Workplace
1970-01-01 01:00:00,User-5,Move to Meeting Room
1970-01-01 01:25:00,User-4,Move to Meeting Room
1970-01-01 01:26:00,User-5,Move to Coffee Area
1970-01-01 01:29:00,User-3,Move to Coffee Area
1970-01-01 01:34:00,User-2,Move to Coffee Area
1970-01-01 01:37:00,User-1,Move to Coffee Area
1970-01-01 01:52:00,User-3,Move to Coffee Area
1970-01-01 01:58:00,User-1,Move to Meeting Room
1970-01-01 01:59:00,User-5,Move to Workplace
1970-01-01 01:59:00,User-2,Move to Coffee Area
1970-01-01 02:05:00,User-4,Move to Workplace
1970-01-01 02:25:00,User-4,Move to Meeting Room
1970-01-01 02:27:00,User-5,Take coffee
1970-01-01 02:27:00,User-5,Increased heart rate
1970-01-01 02:28:00,User-5,Move to Workplace
1970-01-01 02:32:00,User-3,Move to Coffee Area
1970-01-01 02:42:00,User-2,Move to Meeting Room
1970-01-01 02:43:00,User-1,Move to Workplace
1970-01-01 02:51:00,User-5,Move to Workplace
1970-01-01 02:55:00,User-4,Move to Coffee Area
1970-01-01 03:08:00,User-3,Move to Coffee Area
1970-01-01 03:10:00,User-1,Move to Coffee Area
1970-01-01 03:23:00,User-2,Move to Meeting Room
1970-01-01 03:29:00,User-1,Move to Workplace
1970-01-01 03:31:00,User-3,Take coffee
1970-01-01 03:31:00,User-3,Increased heart rate
1970-01-01 03:32:00,User-4,Move to Workplace
1970-01-01 03:33:00,User-5,Move to Coffee Area
1970-01-01 03:44:00,User-1,Move to Workplace
1970-01-01 03:51:00,User-3,Move to Workplace
1970-01-01 03:55:00,User-4,Move to Meeting Room
1970-01-01 03:58:00,User-2,Move to Coffee Area
1970-01-01 04:05:00,User-5,Move to Workplace
1970-01-01 04:17:00,User-2,Take coffee
1970-01-01 04:17:00,User-2,Increased heart rate
1970-01-01 04:17:00,User-1,Move to Workplace
